2019-03-22 14:52:21,55,74,1237,2222,2734|
2019-03-22 14:52:23,83,51,1724,2650,2740|
2019-03-22 14:52:25,59,79,1443,2961,2525|
2019-03-22 14:52:27,72,73,1729,2262,2777|
2019-03-22 14:52:29,74,83,1769,1933,2767|
2019-03-22 14:52:31,60,69,1490,2672,2685|
2019-03-22 14:52:33,63,81,1094,1862,2209|
2019-03-22 14:52:35,57,53,1332,2694,2207|
2019-03-22 14:52:37,57,72,1487,2484,2239|
2019-03-22 14:52:39,72,88,1803,2444,2517|
2019-03-22 14:52:41,57,63,1146,1811,2111|
2019-03-22 14:52:43,56,60,1062,2378,2864|
2019-03-22 14:52:45,56,60,1062,2378,2864|

